# 37 different group configurations
[[36, 23], [ 1,  9], [22, 37], [29, 34], [ 3, 33], [26, 28], [25,  7], [ 6, 30], [ 2, 27], [17, 24], [14,  5], [19, 20], [10, 13], [11, 35], [ 0, 18], [31, 15], [ 4, 21], [16, 12], [ 8, 32]]
[[ 3, 36], [19, 28], [32, 34], [21,  7], [14,  4], [26, 16], [22, 17], [31,  1], [20, 15], [ 9, 18], [30, 37], [25, 10], [23,  2], [ 5, 29], [ 6, 13], [27,  0], [24, 11], [12, 35], [33,  8]]
[[32,  9], [20, 30], [37,  6], [34, 19], [21,  3], [22,  5], [28, 36], [18,  7], [13, 25], [ 4, 11], [24, 23], [ 8, 35], [14, 31], [16, 33], [12,  0], [26, 10], [ 1, 27], [ 2, 15], [29, 17]]
[[33,  7], [15, 32], [18,  5], [29,  6], [27, 12], [ 8, 25], [ 1, 37], [ 3, 28], [21, 22], [17,  2], [14, 30], [23, 10], [16, 11], [ 0,  4], [ 9, 26], [35, 19], [36, 34], [31, 20], [13, 24]]
[[20, 27], [19,  3], [21,  1], [37, 23], [22,  9], [17, 31], [14, 36], [15, 13], [24,  2], [ 4, 18], [35, 10], [34,  7], [ 5, 33], [ 0, 26], [ 8, 30], [12, 28], [29, 32], [11,  6], [25, 16]]
[[11, 37], [ 8, 21], [34, 10], [27, 18], [23, 32], [ 9, 19], [13, 30], [ 4, 31], [ 2, 22], [ 7, 15], [20,  5], [ 6, 26], [ 3, 16], [ 0, 29], [24,  1], [33, 14], [12, 36], [25, 35], [28, 17]]
[[34, 27], [ 1, 16], [29, 31], [13,  7], [23, 26], [ 9, 25], [35, 30], [36, 33], [ 4,  2], [ 0, 24], [20, 10], [12,  8], [11, 21], [37, 18], [17, 15], [ 5, 19], [ 3, 14], [22, 28], [ 6, 32]]
[[ 7, 10], [16,  0], [26, 32], [29, 18], [15, 27], [21, 23], [ 5, 34], [35, 24], [31, 22], [ 4, 17], [14,  1], [ 2, 13], [12,  3], [33,  9], [19, 25], [ 6, 36], [30, 28], [20, 37], [ 8, 11]]
[[12, 21], [ 3, 37], [28, 34], [25, 23], [36,  0], [17, 14], [ 8, 20], [33, 27], [ 6,  9], [22,  4], [29, 16], [32,  7], [10, 31], [26,  1], [30,  5], [18, 24], [19, 15], [35, 13], [11,  2]]
[[ 6, 19], [22, 27], [37, 25], [ 7, 36], [17, 33], [34, 11], [ 2, 26], [ 4, 35], [10, 21], [15, 18], [23,  1], [13, 31], [30, 24], [ 5,  8], [29, 14], [ 9, 20], [32, 12], [ 3,  0], [16, 28]]
[[34,  4], [37, 15], [ 7, 29], [28,  5], [16, 10], [21,  6], [12, 26], [31, 24], [ 8, 14], [27, 11], [33,  0], [18,  1], [17, 25], [20, 32], [35, 23], [30,  9], [13,  3], [22, 19], [36,  2]]
[[35, 26], [14, 20], [33, 21], [25,  4], [ 2, 12], [ 7, 16], [ 6, 22], [ 8, 17], [37, 24], [18, 10], [30, 19], [ 1, 15], [23, 11], [29, 36], [13, 34], [ 0, 32], [27,  5], [ 3, 31], [ 9, 28]]
